X,Y,wmElementN,wmType,wmDeviceTy,wmDevice_1,wmDevice_2,wmDevice_3,wmLightTab,wmLightT_1,wmLatitude,wmLongitud,icon_url
-93.6945784767025,47.4074058245461,54-4-24019-F4,Device,Fuse,,Fuse,,10T,100 Amp Tube,47.40750122070,-93.69456481930,./0.png
-93.8860296501508,47.3330601651097,54-2-25931-F7,Device,Fuse,Fuse,Fuse,Fuse,,,47.33315277100,-93.88601684570,./0.png
-93.817204536,47.3473510686,54-3-25927-F7,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.34744644170,-93.81719207760,./0.png
-93.8167083779203,47.3473916625583,54-3-25926-F3,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.34748458860,-93.81669616700,./0.png
-93.7733453176333,47.371565510859,54-4-23934-F4,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37165832520,-93.77333831790,./0.png
-93.760858365054,47.3714796335254,54-4-23934-F5,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37157440190,-93.76084899900,./0.png
-94.0763217198754,47.5190589675548,54-3-21427-F2,Device,Fuse,,Fuse,,10T,100 Amp Tube,47.51915359500,-94.07630920410,./0.png
-93.8562535266506,47.3574659529707,54-3-25921-F8,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.35755920410,-93.85624694820,./0.png
-93.9355967373718,47.3258081304403,54-2-25835-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.32590103150,-93.93558502200,./0.png
-93.8004682088747,47.3360785791352,54-3-25935-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.33617401120,-93.80046081540,./0.png
-93.9667288363866,47.4094543760452,54-3-25804-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.40954971310,-93.96672058110,./0.png
-93.7923096841825,47.3569888339035,54-4-25924-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.35708236690,-93.79229736330,./0.png
-93.8446694858129,47.3684986712849,54-4-25921-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36859130860,-93.84465789790,./0.png
-93.8366008748262,47.3281228117629,54-3-25934-F1,Device,Fuse,,Fuse,,12T,100 Amp Tube,47.32821655270,-93.83659362790,./0.png
-93.7951134996767,47.3600792472159,54-4-25923-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.36017227170,-93.79510498050,./0.png
-93.793813652837,47.3570552576244,54-4-25924-F2,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.35715103150,-93.79380035400,./0.png
-93.9252054287775,47.3149035523582,54-2-27902-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.31499862670,-93.92519378660,./0.png
-93.7092746123782,47.3843725636261,54-4-24031-F3,Device,Fuse,Fuse,Fuse,Fuse,30T,100 Amp Tube,47.38446807860,-93.70926666260,./0.png
-93.9141197656474,47.2528297357355,54-2-27936-F3,Device,Fuse,,,Fuse,12T,100 Amp Tube,47.25292587280,-93.91410827640,./0.png
-93.7954823561875,47.3751202706106,54-4-25914-F1,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.37521362300,-93.79547119140,./0.png
-93.7403218201482,47.4404278541433,54-4-23911-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.44052124020,-93.74031066890,./0.png
-93.7474489303792,47.3622895383927,54-4-26003-F6,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.36238479610,-93.74743652340,./0.png
-93.7954379520196,47.38253727059,54-4-25911-F1,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.38263320920,-93.79542541500,./0.png
-93.8805843463478,47.3672526448611,54-3-25919-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36734771730,-93.88057708740,./0.png
